iter	Passed	Remaining
0	1	99
1	1	93
2	2	91
3	3	87
4	4	86
5	5	84
6	6	83
7	7	81
8	7	80
9	8	79
10	9	77
11	10	76
12	11	75
13	12	74
14	12	72
15	13	71
16	14	70
17	15	69
18	16	68
19	16	67
20	17	66
21	18	65
22	19	64
23	19	63
24	20	62
25	21	61
26	22	60
27	23	59
28	23	58
29	24	57
30	25	56
31	26	55
32	26	54
33	27	53
34	28	52
35	29	52
36	30	51
37	30	50
38	31	49
39	32	48
40	33	47
41	34	47
42	34	46
43	35	45
44	36	44
45	37	43
46	37	42
47	38	41
48	39	41
49	40	40
50	41	39
51	42	38
52	42	38
53	43	37
54	44	36
55	45	35
56	46	34
57	47	34
58	47	33
59	48	32
60	49	31
61	50	30
62	51	30
63	51	29
64	52	28
65	53	27
66	54	26
67	55	25
68	55	25
69	56	24
70	57	23
71	58	22
72	58	21
73	59	21
74	60	20
75	61	19
76	62	18
77	63	17
78	63	16
79	64	16
80	65	15
81	65	14
82	66	13
83	67	12
84	68	12
85	69	11
86	69	10
87	70	9
88	71	8
89	72	8
90	73	7
91	74	6
92	75	5
93	75	4
94	76	4
95	77	3
96	78	2
97	79	1
98	79	0
99	80	0
